code,period,midpoint,basin,Raw SEC,Smooth SEC,dH
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,6,0.033,0.016,-1.903134104795754
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,7,0.124,0.129,2.4513540901243687
1993-1998-11,1993/11 - 1998/11,1996-05-31 01:13:00.468750,all,0.068,0.065,0.671536325244233
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,1,0.09,0.089,0.7587376324809156
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,2,0.131,0.124,-0.5135646890848875
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,3,0.037,0.038,1.015178121626377
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,4,0.063,0.063,1.270537219941616
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,5,0.051,0.045,-0.2979497676715255
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,6,0.033,0.024,-1.8701341534033418
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,7,0.124,0.126,2.5749229677021503
1993-1998-12,1993/12 - 1998/12,1996-06-30 00:52:47.578125,all,0.068,0.067,0.7398890394251794
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,1,0.09,0.09,0.8489895699894987
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,2,0.131,0.131,-0.382218761369586
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,3,0.037,0.037,1.0521686971187592
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,4,0.063,0.063,1.3334841206669807
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,5,0.051,0.051,-0.24701309483498335
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,6,0.033,0.033,-1.8371342020109296
1994-1999-01,1994/01 - 1999/01,1996-07-31 01:08:15.703125,7,0.124,0.124,2.698491845279932
