code,period,midpoint,basin,SEC
199301-199801,1993/01 - 1998/01,1995.5795,2,-0.025178775191307068
199301-199801,1993/01 - 1998/01,1995.5795,3,-0.0217742957174778
199301-199801,1993/01 - 1998/01,1995.5795,4,-0.010639176703989506
199301-199801,1993/01 - 1998/01,1995.5795,5,-0.029862934723496437
199301-199801,1993/01 - 1998/01,1995.5795,6,-0.0337696298956871
199301-199801,1993/01 - 1998/01,1995.5795,7,-0.026257965713739395
199301-199801,1993/01 - 1998/01,1995.5795,8,-0.026176348328590393
199301-199801,1993/01 - 1998/01,1995.5795,9,-0.10854678601026535
199301-199801,1993/01 - 1998/01,1995.5795,10,-0.015392051078379154
199301-199801,1993/01 - 1998/01,1995.5795,11,-0.03358229994773865
199301-199801,1993/01 - 1998/01,1995.5795,12,-0.031212525442242622
199301-199801,1993/01 - 1998/01,1995.5795,13,-0.029390202835202217
199301-199801,1993/01 - 1998/01,1995.5795,14,0.003340221242979169
199301-199801,1993/01 - 1998/01,1995.5795,15,-0.1481679379940033
199301-199801,1993/01 - 1998/01,1995.5795,16,0.1515180766582489
199301-199801,1993/01 - 1998/01,1995.5795,17,-0.09068956226110458
199301-199801,1993/01 - 1998/01,1995.5795,18,-0.043838970363140106
199301-199801,1993/01 - 1998/01,1995.5795,all,-0.032393396
199302-199802,1993/02 - 1998/02,1995.6589,0,-0.14375199377536774
199302-199802,1993/02 - 1998/02,1995.6589,1,-0.09396154433488846
199302-199802,1993/02 - 1998/02,1995.6589,2,-0.034852996468544006
199302-199802,1993/02 - 1998/02,1995.6589,3,-0.017790725454688072
199302-199802,1993/02 - 1998/02,1995.6589,4,-0.009676864370703697
199302-199802,1993/02 - 1998/02,1995.6589,5,-0.019258033484220505
199302-199802,1993/02 - 1998/02,1995.6589,6,-0.03333205357193947
199302-199802,1993/02 - 1998/02,1995.6589,7,-0.027638986706733704
